market,sim,c1,c2,rss_impr_pct,b_MR,b_EX
ta125,17,97.3607,101.968,3.5087,0.014246,-0.503617
ta125,18,97.8726,100.3591,3.3325,-0.011759,0.0097
ta125,19,97.7995,101.6755,2.6619,-0.005621,-0.097318
ta125,20,97.6532,101.6023,2.6029,-0.056255,-0.617045
ta125,21,98.1652,100.7247,2.8386,-0.003426,-0.004568
ta125,22,96.8488,99.6278,3.5889,-0.521026,-0.010167
ta125,23,98.8965,101.8217,2.5859,0.010896,0.102818
ta125,24,97.0682,101.8948,3.0628,-0.554282,-0.387123
ta125,25,96.7757,101.4561,2.1176,-1.528488,-0.125442
ta125,26,99.2621,101.7486,4.3209,-0.019643,-0.868854
ta125,27,96.9219,101.4561,3.3613,-0.608967,-0.299988
ta125,28,98.6039,102.1142,2.3801,0.016124,-0.96652
ta125,29,98.4577,101.3098,3.6277,-0.000847,-0.231304
ta125,30,98.7502,100.7979,2.6812,-0.022594,-0.020614
ta125,31,97.1413,101.3829,2.726,-0.003166,-0.233431
ta125,32,97.7264,101.2367,3.4421,0.055345,-0.149038
ta125,33,96.8488,98.8233,3.0971,0.813307,-0.010589
ta125,34,97.2144,101.6755,4.0652,-0.077597,-0.855673
ta125,35,98.0189,101.5292,2.5839,-0.004749,-0.075406
ta125,36,96.7757,101.5292,2.5754,0.521716,0.123522
ta125,37,97.0682,101.0904,4.5025,-1.648595,-0.215476
ta125,38,97.1413,99.6278,2.959,-0.105476,-0.000773
ta125,39,97.2144,101.4561,2.3177,-0.072333,-0.120812
ta125,40,98.8965,101.8948,3.2658,-0.033903,-0.583864
ta125,41,99.7009,101.6755,2.5476,-0.008457,-0.138338
ta125,42,99.4815,101.8948,2.5613,-0.01527,-0.137384
ta125,43,98.3845,101.5292,2.4624,-0.014471,-0.233785
ta125,44,97.7995,99.774,4.1542,0.011246,-0.014626
ta125,45,96.8488,100.9441,2.7538,-0.756385,-0.015995
ta125,46,97.1413,102.1874,3.267,-0.008875,-1.219353
ta125,47,97.3607,101.2367,3.0482,0.065856,-0.181743
ta125,48,98.5308,101.0904,3.6111,-0.016261,-0.025903
ta125,49,98.6771,101.8217,3.1545,0.034159,-0.239766
ta35,0,97.1413,102.2605,2.2205,0.074828,-0.195281
ta35,1,97.5801,102.1874,3.2662,0.003154,-1.253484
ta35,2,97.8726,101.8948,1.6099,-0.018515,-0.348892
ta35,3,97.0682,102.1142,3.7361,-1.453328,-0.182963
ta35,4,96.9219,99.9934,4.8379,-1.322929,-0.009698
ta35,5,96.9219,100.1397,5.0231,-0.845016,-0.01504
ta35,6,99.7009,102.1142,4.9117,-0.004216,-0.559067
ta35,7,98.092,101.2367,3.6039,-0.03664,-0.265748
ta35,8,96.7757,99.1159,2.782,-1.145107,0.007179
ta35,9,97.1413,101.3829,5.345,0.060491,-0.562232
ta35,10,96.8488,100.871,1.9104,-0.200706,0.002128
ta35,11,97.2144,101.8948,4.7143,-0.412871,-0.578248
ta35,12,98.6039,101.968,2.6845,-0.018034,-0.803977
ta35,13,99.6278,101.7486,4.3518,-2.3e-05,-0.142504
ta35,14,98.9696,101.1635,2.8632,-0.028404,0.022695
ta35,15,98.6771,100.9441,3.2124,0.003983,-0.028888
ta35,16,97.1413,101.4561,2.6647,0.048363,-0.155974
