market,sim,c1,c2,rss_impr_pct,b_MR,b_EX
athex,37,98.2427,101.1599,2.8632,0.043968,-0.139838
athex,38,98.166,101.8508,5.7233,-0.018352,-0.305657
athex,39,96.17,98.5498,3.4337,0.0,-0.03963
athex,40,97.0144,101.8508,1.5831,-0.684214,-0.143418
athex,41,97.3983,101.0064,3.4772,-0.096052,-0.042587
athex,42,99.471,101.467,6.2452,-0.07818,-0.16978
athex,43,96.9377,101.6205,6.1587,-0.505974,-0.208753
athex,44,97.6286,99.6245,6.088,-0.457481,-0.04669
athex,45,96.8609,101.5437,4.6768,-0.962327,-0.30115
athex,46,97.0144,101.3134,5.4006,-0.552467,-0.026062
athex,47,98.8569,101.1599,2.6637,-0.043855,-0.06925
athex,48,97.6286,100.7761,4.4223,-0.184743,-0.107012
athex,49,97.0144,101.0831,7.6681,-0.93873,-0.185107
ta125,0,97.7995,101.0173,4.1371,-0.014096,-0.017844
ta125,1,96.8488,100.7247,4.3911,-0.314886,-0.024011
ta125,2,98.9696,100.9441,4.0357,-0.024668,0.037212
ta125,3,99.0427,102.1874,1.7029,-0.018048,-0.757361
ta125,4,96.9219,101.6023,2.494,-1.498755,-0.270153
ta125,5,98.8965,101.8217,3.9677,-0.019019,-1.006498
ta125,6,98.6771,102.1874,2.9897,-0.007899,0.012303
ta125,7,97.0682,101.5292,2.696,0.314671,-0.156904
ta125,8,99.8472,101.8217,2.917,-0.002056,-0.369015
ta125,9,99.1159,101.5292,1.2135,-0.012877,-0.06184
ta125,10,99.8472,101.968,2.9931,0.006486,-0.695148
ta125,11,99.6278,101.7486,3.2742,0.005044,-0.006684
ta125,12,96.7757,101.3098,2.6231,3.799461,-0.123985
ta125,13,96.9219,101.8217,3.9598,-0.317792,-0.094515
ta125,14,98.9696,101.0173,4.2222,0.024988,-0.027421
ta125,15,97.0682,100.871,2.6967,-0.645847,0.008776
ta125,16,99.1159,101.1635,4.0427,-0.015756,-0.06077
ta125,17,97.8726,101.6755,2.0626,0.045887,-0.289831
ta125,18,97.7995,101.6755,3.7247,0.001429,-0.125266
ta125,19,96.7757,101.5292,2.6201,-2.308794,-0.035274
ta125,20,97.2876,102.2605,3.2921,0.026563,-1.102309
ta125,21,97.0682,101.2367,2.9459,-0.898882,-0.223516
ta125,22,96.8488,102.2605,3.0773,-0.787688,-0.845416
ta125,23,98.3114,100.6516,2.3031,-0.019068,-0.002191
ta125,24,98.8965,101.6023,2.9891,-0.005894,-0.361222
ta125,25,98.4577,101.6755,3.2948,0.003468,-0.206303
ta125,26,97.6532,102.0411,3.6856,-0.010581,-0.346513
ta125,27,98.3114,101.2367,2.788,0.039118,-0.1065
ta125,28,97.0682,101.8217,3.0572,-0.57945,-0.151946
ta125,29,97.3607,102.1874,4.2162,0.02789,-1.177989
ta125,30,96.8488,101.0173,2.9363,0.188555,-0.008351
ta125,31,99.4084,101.6023,4.0598,-0.004876,-0.256529
ta125,32,97.2144,100.7247,4.6957,-0.069152,-0.00428
ta125,33,96.9219,100.9441,4.4411,-1.036368,-0.00582
ta125,34,96.9219,102.0411,2.7683,-3.176693,-0.200007
ta125,35,97.5801,101.968,2.3506,0.035041,-0.338383
ta125,36,96.9219,102.0411,2.3434,-1.48351,-0.036417
ta125,37,99.4084,101.3829,3.5629,-0.015571,-0.110014
ta125,38,96.9219,101.2367,3.0087,-1.231741,-0.295613
ta125,39,99.7009,101.8948,4.0388,-0.009494,-0.701304
ta125,40,99.4084,101.5292,5.1071,0.008068,-0.097916
ta125,41,97.0682,102.2605,2.7466,-1.343262,-1.187534
ta125,42,97.0682,99.5546,3.0404,-1.360871,-0.041867
ta125,43,97.2876,101.0904,3.4258,-0.124346,-0.063714
ta125,44,96.7757,101.0904,3.3965,-1.838558,0.011156
ta125,45,98.2383,100.4322,1.5922,0.003704,0.000512
ta125,46,97.8726,101.2367,2.4789,-0.031166,-0.111067
ta125,47,97.2876,101.3829,3.3911,0.032413,-0.259496
ta125,48,96.7757,101.7486,3.991,-0.862914,-0.338448
ta125,49,97.6532,101.2367,4.7995,0.004748,-0.284883
ta35,0,97.0682,101.0904,2.073,-1.062343,0.012302
ta35,1,99.1159,101.8948,3.656,-0.01208,-1.26516
ta35,2,98.9696,101.3098,3.7,-0.020371,-0.053963
ta35,3,97.0682,101.0904,2.7,-0.690806,-0.015256
ta35,4,97.0682,101.8217,3.3943,-0.889383,-0.698574
ta35,5,97.0682,101.4561,2.1605,-1.376157,-0.171669
ta35,6,98.3114,102.0411,1.9419,-0.011452,-0.141683
ta35,7,98.0189,102.2605,1.7646,-0.000237,-1.695492
ta35,8,97.0682,99.2621,2.359,-0.706636,0.008147
ta35,9,99.0427,101.0904,3.635,0.010926,0.009973
ta35,10,98.3845,102.2605,4.4219,-0.029285,-0.928823
ta35,11,97.3607,102.0411,3.4606,0.020658,-0.306633
ta35,12,99.1159,101.2367,2.7077,0.020733,-0.141192
ta35,13,98.9696,101.2367,3.6096,-0.001452,-0.124829
ta35,14,97.2144,99.9203,2.8589,0.034375,0.005166
ta35,15,98.7502,101.8217,3.1011,-0.020113,-0.866519
ta35,16,96.7757,102.1142,5.4269,-1.784163,-1.428032
ta35,17,96.9219,101.2367,2.692,-1.872467,-0.198726
ta35,18,98.5308,101.4561,3.3308,0.017256,-0.068535
ta35,19,99.2621,102.0411,3.4909,0.004692,-0.541068
ta35,20,97.3607,101.6023,4.7407,0.012142,-0.208992
ta35,21,97.2144,102.1874,3.6526,-0.450875,0.762175
ta35,22,98.3845,100.6516,2.8701,-0.040382,-0.016158
ta35,23,97.1413,101.3829,4.6991,-0.047674,-0.088943
ta35,24,99.4815,101.8217,3.7239,-0.002973,-0.10778
ta35,25,98.5308,100.7247,2.0153,-0.004426,-0.020057
ta35,26,98.5308,101.8217,3.9744,0.011206,0.000973
ta35,27,97.7264,99.774,2.6383,0.056966,-0.001677
ta35,28,97.0682,101.8948,3.0891,-1.01106,-0.159254
ta35,29,97.5801,102.0411,3.2517,0.059388,-0.594241
